feature,mean_abs_shap
tenure_years,0.1528741677579932
RecruitmentSource_enc,0.0864246477582863
MaritalDesc_enc,0.05749771772787571
Salary,0.03654679557927901
Position_enc,0.0355624858294211
age,0.030915131527553003
SpecialProjectsCount,0.030014103149657086
Absences,0.022291618615726674
salary_vs_dept_mean,0.01946105431532305
Department_enc,0.014943014957502707
engagement_x_satisfaction,0.013207471115663892
EngagementSurvey,0.012921147098439232
EmpSatisfaction,0.010761442681250184
DaysLateLast30,0.006512132303589874
CitizenDesc_enc,0.005673424019556757
PerformanceScore_enc,0.004857241984427007
