feature,importance_mean,importance_std
ancienete,0.3109078666816295,0.031593438239872845
RecruitmentSource,0.0032431825833240334,0.0023563439332332506
ManagerID,0.0004488834025362265,0.0007185640486402148
Absences,0.00030299629671201036,0.00027965291873811876
PerformanceScore,8.977668050725862e-05,0.00014016379751761952
EngagementSurvey,5.611042531710187e-05,5.6110425316990845e-05
EmpSatisfaction,3.3666255190301086e-05,7.185640486401472e-05
PerfScoreID,-2.2444170126745266e-05,4.488834025362931e-05
FromDiversityJobFairID,-2.2444170126789674e-05,4.4888340253662615e-05
Salary,-3.366625519013455e-05,0.00021904636175447737
DeptID,-4.488834025355715e-05,0.00021410373727234899
DOB,-5.611042531702415e-05,0.00016833127595107243
ManagerName,-0.00010099876557058129,0.0005004848641224876
SpecialProjectsCount,-0.00024688587139486405,0.0001795533610144548
State,-0.00028055212658506523,5.6110425317013044e-05
Department,-0.0003703288070922905,0.00018129833263834868
Position,-0.0005947705083603983,0.00010099876557064298
